animal_id,name,animal_type,outcome_subtype,sex_upon_outcome,age_upon_outcome
A664723,,Cat,Suffering,Intact Female,7 years
A664740,,Cat,Suffering,Intact Female,3 months
A664778,Brutus,Dog,Aggressive,Neutered Male,4 years
A664794,,Cat,Suffering,Intact Male,1 month
A664812,Blue,Dog,Aggressive,Intact Male,2 years
A664824,Bella,Dog,Aggressive,Spayed Female,5 years
A664834,,Dog,Suffering,Intact Female,1 year
A664869,*Ollie,Dog,Behavior,Intact Male,3 years
A664872,,Cat,Suffering,Neutered Male,3 years
A664924,Frijolito,Dog,Suffering,Neutered Male,2 years
A664926,,Dog,Suffering,Intact Female,2 years
A664940,Laika,Dog,Aggressive,Spayed Female,1 year
A664944,Fuzzyball,Cat,Suffering,Neutered Male,10 years
A664945,,Dog,Suffering,Intact Male,10 years
A664954,,Cat,Suffering,Intact Male,4 weeks
A664977,,Dog,Suffering,Intact Male,4 years
A664982,,Dog,Suffering,Intact Female,15 years
A664989,,Dog,Suffering,Intact Male,5 months
A665078,,Cat,Suffering,Intact Female,4 years
A665097,Brittney,Dog,Suffering,Intact Female,7 years
A665134,Cosita,Dog,Suffering,Spayed Female,1 year
A665136,,Cat,Suffering,Intact Male,1 month
A665137,*Willie,Dog,Behavior,Neutered Male,1 year
A665142,Pascal,Dog,Suffering,Neutered Male,13 years
A665152,,Dog,Suffering,Intact Female,4 weeks
A665157,,Cat,Suffering,Intact Male,2 years
A665175,*Stan,Dog,Behavior,Neutered Male,1 year
A665189,,Cat,Suffering,Intact Male,1 month
A665190,,Cat,Suffering,Neutered Male,14 years
A665204,Africano,Dog,Aggressive,Neutered Male,4 years
A665219,Sox,Dog,Rabies Risk,Neutered Male,10 months
A665244,Latte,Dog,Suffering,Neutered Male,13 years
A665252,,Cat,Suffering,Intact Male,1 month
A665256,Jerry,Cat,Suffering,Neutered Male,1 year
A665281,Marley,Dog,Aggressive,Neutered Male,2 years
A665376,,Dog,Suffering,Neutered Male,8 years
A665393,Maddie,Cat,Aggressive,Spayed Female,4 years
A665444,,Cat,Suffering,Intact Female,1 month
A665484,,Cat,Suffering,Intact Male,9 months
A665559,Iggy,Dog,Suffering,Intact Male,10 years
A665571,,Cat,Suffering,Intact Male,4 months
A665640,,Cat,Suffering,Intact Female,1 month
A665645,,Cat,Suffering,Intact Male,3 years
A665673,,Cat,Suffering,Intact Male,1 weeks
A665685,,Dog,Suffering,Intact Female,2 years
A665689,,Cat,Suffering,Intact Female,5 years
A665776,,Dog,Suffering,Intact Male,1 year
A665784,Copy Cat,Cat,Suffering,Spayed Female,15 years
A665786,Woodrow,Cat,Suffering,Neutered Male,15 years
A665795,,Cat,Suffering,Intact Male,2 months
A665807,Toby,Dog,Aggressive,Intact Male,3 years
A665808,*Cooter,Dog,Aggressive,Neutered Male,2 years
A665900,*Benjamin,Cat,Suffering,Intact Male,12 years
A665953,,Cat,Suffering,Neutered Male,8 years
A665963,Evelyn,Cat,Suffering,Spayed Female,2 years
A666068,,Dog,Suffering,Intact Male,12 years
A666083,,Cat,Suffering,Intact Male,4 weeks
A666092,,Dog,Aggressive,Intact Male,6 years
A666124,,Dog,Suffering,Intact Female,6 years
A666156,,Dog,Suffering,Intact Male,9 years
A666166,*Elroy,Dog,Aggressive,Intact Male,2 years
A666172,Midnight,Dog,Suffering,Intact Female,2 years
A666173,Cece,Dog,Aggressive,Intact Female,2 years
A666175,Cookie,Dog,Aggressive,Intact Female,3 years
A666186,,Cat,Suffering,Intact Female,2 years
A666197,*Leroy,Dog,Behavior,Neutered Male,2 years
A666209,Guy,Cat,Suffering,Neutered Male,5 years
A666253,*Sybil,Dog,Suffering,Spayed Female,9 years
A666261,*Emmit,Dog,Aggressive,Neutered Male,6 years
A666272,,Dog,Suffering,Intact Female,1 month
A666273,*Jasmine,Dog,Behavior,Spayed Female,2 years
A666291,,Dog,Suffering,Intact Female,7 years
A666314,U,Cat,Suffering,Intact Male,1 month
A666319,,Cat,Suffering,Spayed Female,8 years
A666352,Coco,Dog,Court/Investigation,Intact Male,3 years
A666353,,Cat,Suffering,Intact Female,1 month
A666359,,Dog,Suffering,Intact Female,10 years
A666403,Nala,Dog,Suffering,Intact Female,13 years
A666404,Sassy,Dog,Suffering,Intact Female,16 years
A666407,,Cat,Suffering,Intact Male,4 weeks
A666423,,Dog,Suffering,Intact Female,2 years
A666489,,Cat,Suffering,Intact Female,3 months
A666511,,Dog,Suffering,Neutered Male,9 years
A666522,*Sonia,Dog,Behavior,Spayed Female,2 years
A666534,,Dog,Aggressive,Intact Male,1 year
A666536,,Cat,Suffering,Intact Female,2 months
A666546,Ami*,Cat,Suffering,Intact Female,2 months
A666599,*Allaster,Dog,Behavior,Neutered Male,3 years
A666611,,Cat,Suffering,Intact Male,12 years
A666745,,Cat,Suffering,Intact Male,1 year
A666789,Cindy,Dog,Suffering,Intact Female,4 months
A666832,*Charlie,Cat,Suffering,Intact Male,1 month
A666850,Angel,Dog,Behavior,Spayed Female,1 year
A666852,*Bonnie,Dog,Aggressive,Spayed Female,1 year
A666854,*Julian,Cat,Medical,Intact Male,2 months
A666859,Conan,Dog,Behavior,Intact Male,4 years
A666870,*Bambi,Dog,Aggressive,Spayed Female,2 years
A666905,,Dog,Suffering,Intact Male,2 years
A666990,,Cat,Suffering,Intact Female,2 months
A667066,,Dog,Suffering,Intact Female,12 years
A667081,Tyson,Dog,Behavior,Neutered Male,2 years
A667090,Rex,Dog,Behavior,Intact Male,3 years
A667094,,Dog,Suffering,Intact Male,1 year
A667102,Sherlock,Dog,Behavior,Neutered Male,10 months
A667118,,Cat,Rabies Risk,Unknown,1 year
A667153,,Cat,Rabies Risk,Intact Male,1 month
A667177,Tigre,Dog,Aggressive,Neutered Male,5 years
A667206,,Cat,Suffering,Neutered Male,2 years
A667225,,Dog,Suffering,Intact Female,9 years
A667251,Delilah,Dog,Aggressive,Spayed Female,3 years
A667257,,Dog,Suffering,Intact Female,7 years
A667284,,Dog,Aggressive,Intact Male,2 years
A667299,,Cat,Suffering,Unknown,1 year
A667300,*Jones,Dog,Aggressive,Neutered Male,2 years
A667363,Peluchin,Dog,Aggressive,Neutered Male,2 years
A667410,,Dog,Suffering,Spayed Female,1 year
A667499,,Cat,Suffering,Intact Male,1 month
A667511,,Cat,Suffering,Intact Female,2 months
A667524,*Pookie,Dog,Rabies Risk,Neutered Male,1 year
A667532,Buzz,Dog,Aggressive,Intact Male,2 years
A667534,Big Mack,Dog,Aggressive,Intact Male,7 years
A667543,,Cat,Suffering,Neutered Male,6 years
A667590,*Mikey,Cat,Suffering,Intact Male,1 month
A667616,Arctic,Dog,Aggressive,Neutered Male,4 years
A667635,,Cat,Suffering,Unknown,6 months
A667755,*Nathan,Cat,Suffering,Neutered Male,2 months
A667836,,Cat,Suffering,Neutered Male,9 years
A667883,,Dog,Suffering,Intact Female,5 months
A667976,Crystal,Dog,Behavior,Spayed Female,2 years
A668001,Jack,Dog,Aggressive,Intact Male,2 years
A668002,Zeva,Dog,Aggressive,Spayed Female,2 years
A668079,King,Dog,Court/Investigation,Neutered Male,8 years
A668113,Tiger,Dog,Suffering,Neutered Male,9 years
A668166,Bear,Dog,Aggressive,Intact Male,7 months
A668179,,Dog,Suffering,Intact Male,1 year
A668180,,Dog,Suffering,Neutered Male,10 years
A668196,,Cat,Suffering,Intact Female,5 years
A668210,Hazel,Dog,Aggressive,Intact Female,2 years
A668252,Fredo,Dog,Suffering,Neutered Male,14 years
A668300,,Cat,Suffering,Neutered Male,8 years
A668337,*Tony,Dog,Behavior,Intact Male,1 year
A668356,Ricardo,Dog,Behavior,Neutered Male,3 years
A668396,,Cat,Medical,Neutered Male,8 years
A668413,,Cat,Suffering,Intact Male,2 months
A668421,Babaloo,Dog,Aggressive,Neutered Male,2 years
A668433,*Hoop,Dog,Aggressive,Intact Male,2 years
A668438,,Dog,Aggressive,Intact Male,2 years
A668439,,Dog,Aggressive,Intact Male,1 year
A668440,,Dog,Aggressive,Intact Male,7 months
A668441,,Dog,Aggressive,Intact Female,7 months
A668493,,Dog,Aggressive,Intact Female,2 years
A668495,,Dog,Behavior,Intact Male,3 years
A668497,,Dog,Behavior,Intact Female,5 years
